experiment,version,run,stage,milliseconds
unrestricted,before,1,analysis,173.665
unrestricted,before,1,first_resize,951.528
unrestricted,before,1,target_128x128,777.862
unrestricted,before,1,target_160x160,1583.230
unrestricted,before,1,target_200x200,638.700
unrestricted,before,2,analysis,177.319
unrestricted,before,2,first_resize,750.256
unrestricted,before,2,target_128x128,572.937
unrestricted,before,2,target_160x160,765.644
unrestricted,before,2,target_200x200,1551.238
unrestricted,before,3,analysis,463.727
unrestricted,before,3,first_resize,2110.923
unrestricted,before,3,target_128x128,1647.196
unrestricted,before,3,target_160x160,1349.408
unrestricted,before,3,target_200x200,704.642
unrestricted,after,1,analysis,400.696
unrestricted,after,1,first_resize,1550.092
unrestricted,after,1,target_128x128,1149.396
unrestricted,after,1,target_160x160,1042.942
unrestricted,after,1,target_200x200,1139.410
unrestricted,after,2,analysis,172.249
unrestricted,after,2,first_resize,1134.419
unrestricted,after,2,target_128x128,962.171
unrestricted,after,2,target_160x160,1037.573
unrestricted,after,2,target_200x200,1206.823
unrestricted,after,3,analysis,176.427
unrestricted,after,3,first_resize,781.330
unrestricted,after,3,target_128x128,604.903
unrestricted,after,3,target_160x160,571.250
unrestricted,after,3,target_200x200,561.717
unrestricted,after,4,analysis,181.198
unrestricted,after,4,first_resize,826.581
unrestricted,after,4,target_128x128,645.383
unrestricted,after,4,target_160x160,1274.171
unrestricted,after,4,target_200x200,1085.871
unrestricted,after,5,analysis,233.869
unrestricted,after,5,first_resize,1132.964
unrestricted,after,5,target_128x128,899.095
unrestricted,after,5,target_160x160,1473.849
unrestricted,after,5,target_200x200,1400.716
unrestricted,after,6,analysis,185.172
unrestricted,after,6,first_resize,1018.257
unrestricted,after,6,target_128x128,833.084
unrestricted,after,6,target_160x160,1075.534
unrestricted,after,6,target_200x200,1306.062
unrestricted,after,7,analysis,259.807
unrestricted,after,7,first_resize,938.220
unrestricted,after,7,target_128x128,678.413
unrestricted,after,7,target_160x160,631.699
unrestricted,after,7,target_200x200,891.367
unrestricted,before,4,analysis,190.976
unrestricted,before,4,first_resize,841.210
unrestricted,before,4,target_128x128,650.233
unrestricted,before,4,target_160x160,604.949
unrestricted,before,4,target_200x200,572.888
unrestricted,before,5,analysis,179.296
unrestricted,before,5,first_resize,778.181
unrestricted,before,5,target_128x128,598.884
unrestricted,before,5,target_160x160,569.354
unrestricted,before,5,target_200x200,545.272
unrestricted,before,6,analysis,184.943
unrestricted,before,6,first_resize,1020.242
unrestricted,before,6,target_128x128,835.300
unrestricted,before,6,target_160x160,997.560
unrestricted,before,6,target_200x200,913.246
unrestricted,before,7,analysis,184.053
unrestricted,before,7,first_resize,906.199
unrestricted,before,7,target_128x128,722.146
unrestricted,before,7,target_160x160,1035.175
unrestricted,before,7,target_200x200,933.831
cpu2,before,1,analysis,187.324
cpu2,before,1,first_resize,806.813
cpu2,before,1,target_128x128,619.489
cpu2,before,1,target_160x160,581.547
cpu2,before,1,target_200x200,535.353
cpu2,after,1,analysis,399.320
cpu2,after,1,first_resize,2178.011
cpu2,after,1,target_128x128,1778.691
cpu2,after,1,target_160x160,1682.506
cpu2,after,1,target_200x200,947.346
cpu2,after,2,analysis,172.126
cpu2,after,2,first_resize,1436.848
cpu2,after,2,target_128x128,1264.722
cpu2,after,2,target_160x160,1517.200
cpu2,after,2,target_200x200,1004.141
cpu2,before,2,analysis,402.042
cpu2,before,2,first_resize,1989.121
cpu2,before,2,target_128x128,1587.079
cpu2,before,2,target_160x160,1332.178
cpu2,before,2,target_200x200,1371.780
cpu2,after,3,analysis,174.211
cpu2,after,3,first_resize,792.964
cpu2,after,3,target_128x128,618.753
cpu2,after,3,target_160x160,582.078
cpu2,after,3,target_200x200,580.929
cpu2,before,3,analysis,189.018
cpu2,before,3,first_resize,784.813
cpu2,before,3,target_128x128,595.795
cpu2,before,3,target_160x160,559.743
cpu2,before,3,target_200x200,527.191
cpu2,before,4,analysis,185.912
cpu2,before,4,first_resize,794.820
cpu2,before,4,target_128x128,608.908
cpu2,before,4,target_160x160,564.903
cpu2,before,4,target_200x200,542.476
cpu2,after,4,analysis,180.543
cpu2,after,4,first_resize,808.146
cpu2,after,4,target_128x128,627.603
cpu2,after,4,target_160x160,588.225
cpu2,after,4,target_200x200,575.512
cpu2,before,5,analysis,285.227
cpu2,before,5,first_resize,2047.589
cpu2,before,5,target_128x128,1762.361
cpu2,before,5,target_160x160,1289.188
cpu2,before,5,target_200x200,1203.294
cpu2,after,5,analysis,172.381
cpu2,after,5,first_resize,797.236
cpu2,after,5,target_128x128,624.855
cpu2,after,5,target_160x160,757.501
cpu2,after,5,target_200x200,1613.367
cpu2,after,6,analysis,180.908
cpu2,after,6,first_resize,795.727
cpu2,after,6,target_128x128,614.819
cpu2,after,6,target_160x160,579.631
cpu2,after,6,target_200x200,542.260
cpu2,before,6,analysis,179.215
cpu2,before,6,first_resize,819.525
cpu2,before,6,target_128x128,640.310
cpu2,before,6,target_160x160,576.586
cpu2,before,6,target_200x200,585.411
