variant,run,case,stage,samples,median_ms,p95_ms,iqr_ms,ns_per_source_pixel
baseline,1,elf,analysis,7,618.444,678.277,33.697,966.32
baseline,1,elf,first_resize,7,1784.634,1924.409,68.455,2788.49
baseline,1,elf,target_128x128,7,1168.775,1305.965,36.258,1826.21
baseline,1,elf,target_160x160,7,1169.853,1218.235,39.953,1827.9
baseline,1,elf,target_200x200,7,1156.111,1246.486,50.293,1806.42
baseline,1,odd,analysis,7,45.989,46.15,0.042,927.17
baseline,1,odd,first_resize,7,64.398,64.677,0.108,1298.32
baseline,1,odd,target_64x48,7,18.422,18.527,0.028,371.4
baseline,1,odd,target_128x96,7,16.733,16.898,0.093,337.35
baseline,1,odd,target_257x96,7,17.421,17.583,0.137,351.23
baseline,1,large,analysis,7,845.348,847.586,3.114,1074.92
baseline,1,large,first_resize,7,1322.064,1329.613,2.703,1681.09
baseline,1,large,target_128x96,7,476.513,484.265,7.861,605.92
baseline,1,large,target_256x192,7,270.623,277.853,4.676,344.11
baseline,1,large,target_512x384,7,224.175,233.565,7.218,285.05
optimized,1,elf,analysis,7,190.373,198.208,2.468,297.46
optimized,1,elf,first_resize,7,870.689,915.924,31.526,1360.45
optimized,1,elf,target_128x128,7,680.316,717.716,29.058,1062.99
optimized,1,elf,target_160x160,7,639.738,657.5,33.488,999.59
optimized,1,elf,target_200x200,7,601.644,671.779,41.779,940.07
optimized,1,odd,analysis,7,10.845,11.153,0.177,218.65
optimized,1,odd,first_resize,7,20.805,21.744,0.41,419.45
optimized,1,odd,target_64x48,7,9.876,10.899,0.165,199.12
optimized,1,odd,target_128x96,7,9.705,9.793,0.089,195.66
optimized,1,odd,target_257x96,7,10.29,15.449,0.244,207.45
optimized,1,large,analysis,7,213.344,230.961,21.903,271.28
optimized,1,large,first_resize,7,455.982,499.537,39.901,579.81
optimized,1,large,target_128x96,7,247.291,273.038,21.417,314.45
optimized,1,large,target_256x192,7,159.275,177.598,7.99,202.53
optimized,1,large,target_512x384,7,153.193,158.922,10.203,194.79
optimized,2,elf,analysis,7,198.306,475.035,11.811,309.85
optimized,2,elf,first_resize,7,922.914,1508.779,36.875,1442.05
optimized,2,elf,target_128x128,7,722.588,1033.744,31.419,1129.04
optimized,2,elf,target_160x160,7,684.436,938.413,175.835,1069.43
optimized,2,elf,target_200x200,7,654.109,1085.811,315.094,1022.05
optimized,2,odd,analysis,7,12.692,15.509,1.607,255.88
optimized,2,odd,first_resize,7,24.345,30.349,3.609,490.81
optimized,2,odd,target_64x48,7,11.778,14.84,2.113,237.45
optimized,2,odd,target_128x96,7,11.474,15.074,2.081,231.33
optimized,2,odd,target_257x96,7,12.472,16.673,2.574,251.44
optimized,2,large,analysis,7,241.739,396.528,77.012,307.39
optimized,2,large,first_resize,7,621.399,784.724,247.101,790.15
optimized,2,large,target_128x96,7,379.66,473.228,109.693,482.76
optimized,2,large,target_256x192,7,179.603,219.878,17.555,228.38
optimized,2,large,target_512x384,7,151.863,166.897,13.567,193.1
baseline,2,elf,analysis,7,815.875,1112.883,249.004,1274.8
baseline,2,elf,first_resize,7,2474.586,3294.298,888.638,3866.54
baseline,2,elf,target_128x128,7,1528.888,2181.415,639.634,2388.89
baseline,2,elf,target_160x160,7,1575.015,1910.514,432.783,2460.96
baseline,2,elf,target_200x200,7,1673.183,2043.274,458.788,2614.35
baseline,2,odd,analysis,7,58.246,66.283,0.948,1174.29
baseline,2,odd,first_resize,7,81.103,89.241,0.94,1635.11
baseline,2,odd,target_64x48,7,22.876,23.446,0.219,461.21
baseline,2,odd,target_128x96,7,20.663,21.034,0.216,416.58
baseline,2,odd,target_257x96,7,21.436,21.644,0.066,432.18
baseline,2,large,analysis,7,900.256,1065.956,123.543,1144.73
baseline,2,large,first_resize,7,1379.442,1549.836,211.357,1754.05
baseline,2,large,target_128x96,7,483.881,579.651,78.196,615.29
baseline,2,large,target_256x192,7,279.993,326.83,50.841,356.03
baseline,2,large,target_512x384,7,234.354,282.252,30.954,298
