pair,variant,preview_ms,task_clock_ms,cycles,instructions
1,before,3010.014,2945.71,5645906890,13321628920
1,after,1173.703,1220.4,4018990369,11574498607
2,after,1975.04,1995.86,4170959346,11578359588
2,before,2347.991,2366.69,4052493710,13321144609
3,before,2417.157,2437.95,4089617116,13320440818
3,after,2250.045,2255.36,3962151244,11577980088
4,after,1095.511,1130.16,3831908880,11575718138
4,before,1419.418,1427.11,3921352728,13321168773
5,before,1762.543,1760.98,3907187549,13319643521
5,after,1440.255,1446.08,3744270300,11576156827
6,after,2199.273,2193.85,3749078692,11578155076
6,before,1402.941,1429.19,3879631009,13320027322
7,before,890.669,902.07,4043984943,13320539297
7,after,805.247,814.34,3738774187,11576111924
8,after,1416.498,1425.3,3822691073,11574666759
8,before,1520.051,1553.55,4052689601,13318866423
9,before,2525.384,2541.3,3920069911,13321215728
9,after,1674.064,1675.96,3871888939,11573993085
10,after,1350.552,1385.21,3776957396,11578476118
10,before,2108.078,2117.53,4754433267,13319877744
11,before,1805.211,1804.62,4700810555,13321609543
11,after,3023.176,3043.94,4680645707,11578908302
12,after,2804.992,2822.73,4179361731,11573867551
12,before,1324.463,1367.99,4217623723,13322137640
