run,variant,case,stage,n,median_ms,p95_ms,iqr_ms,ns_per_source_pixel
1,before,elf,analysis,7,202.043,511.976,314.041,315.69
1,before,elf,first_resize,7,1940.008,2406.440,441.934,3031.26
1,before,elf,target_128x128,7,1737.965,1894.464,127.893,2715.57
1,before,elf,target_160x160,7,1133.319,1725.979,381.064,1770.81
1,before,elf,target_200x200,7,1067.894,1663.977,379.122,1668.58
1,before,odd,analysis,7,12.006,12.535,0.317,242.05
1,before,odd,first_resize,7,23.067,23.962,0.531,465.05
1,before,odd,target_64x48,7,11.062,11.442,0.622,223.03
1,before,odd,target_128x96,7,10.719,11.033,0.459,216.11
1,before,odd,target_257x96,7,11.465,11.651,0.413,231.15
1,before,large,analysis,7,207.420,230.916,14.032,263.75
1,before,large,first_resize,7,443.260,461.007,9.954,563.63
1,before,large,target_128x96,7,230.091,241.835,6.082,292.58
1,before,large,target_256x192,7,143.996,148.364,3.013,183.10
1,before,large,target_512x384,7,138.475,149.969,10.274,176.08
2,after,elf,analysis,7,189.403,425.408,47.926,295.94
2,after,elf,first_resize,7,843.539,1639.816,788.745,1318.03
2,after,elf,target_128x128,7,611.168,1450.413,546.163,954.95
2,after,elf,target_160x160,7,571.751,1151.401,496.180,893.36
2,after,elf,target_200x200,7,562.215,1319.246,605.289,878.46
2,after,odd,analysis,7,10.748,10.924,0.246,216.69
2,after,odd,first_resize,7,19.865,20.380,0.491,400.50
2,after,odd,target_64x48,7,9.295,9.460,0.290,187.40
2,after,odd,target_128x96,7,9.032,9.226,0.219,182.09
2,after,odd,target_257x96,7,9.620,9.736,0.228,193.95
2,after,large,analysis,7,381.349,572.250,226.236,484.91
2,after,large,first_resize,7,790.308,1281.715,201.813,1004.93
2,after,large,target_128x96,7,368.892,709.465,380.634,469.07
2,after,large,target_256x192,7,142.834,403.820,10.149,181.62
2,after,large,target_512x384,7,129.955,405.277,75.914,165.25
3,after,elf,analysis,7,527.844,572.400,353.319,824.76
3,after,elf,first_resize,7,1602.620,2276.546,1045.874,2504.09
3,after,elf,target_128x128,7,1047.058,1724.001,689.537,1636.03
3,after,elf,target_160x160,7,882.162,1779.229,591.187,1378.38
3,after,elf,target_200x200,7,890.769,1545.340,926.000,1391.83
3,after,odd,analysis,7,31.290,31.427,0.146,630.83
3,after,odd,first_resize,7,57.933,68.511,0.099,1167.98
3,after,odd,target_64x48,7,26.654,37.099,0.055,537.36
3,after,odd,target_128x96,7,25.588,25.682,0.058,515.87
3,after,odd,target_257x96,7,27.032,27.284,0.096,544.99
3,after,large,analysis,7,409.229,490.122,109.461,520.36
3,after,large,first_resize,7,975.979,1112.642,408.758,1241.02
3,after,large,target_128x96,7,516.349,622.519,316.336,656.57
3,after,large,target_256x192,7,326.715,362.577,138.575,415.44
3,after,large,target_512x384,7,311.717,352.371,104.280,396.37
4,before,elf,analysis,7,325.206,453.630,222.933,508.13
4,before,elf,first_resize,7,1519.817,2166.357,270.146,2374.71
4,before,elf,target_128x128,7,1153.234,1712.727,493.079,1801.93
4,before,elf,target_160x160,7,1049.444,1658.573,449.196,1639.76
4,before,elf,target_200x200,7,953.561,1460.537,174.227,1489.94
4,before,odd,analysis,7,31.649,32.064,15.055,638.07
4,before,odd,first_resize,7,60.591,61.029,12.103,1221.57
4,before,odd,target_64x48,7,28.942,31.984,0.100,583.50
4,before,odd,target_128x96,7,28.167,40.643,0.247,567.86
4,before,odd,target_257x96,7,29.598,29.792,0.325,596.73
4,before,large,analysis,7,185.223,519.381,8.846,235.52
4,before,large,first_resize,7,404.308,916.943,13.436,514.10
4,before,large,target_128x96,7,218.396,397.562,15.529,277.70
4,before,large,target_256x192,7,139.077,179.499,2.533,176.85
4,before,large,target_512x384,7,130.868,295.401,14.214,166.41
